crime,neighborhood,count
BURGLARY-RESIDENCE,Lake Claire,82
BURGLARY-NONRES,Lindbergh/Morosgo,82
LARCENY-FROM VEHICLE,Whittier Mill Village,82
AUTO THEFT,Polar Rock,82
AUTO THEFT,Leila Valley,81
ROBBERY-PEDESTRIAN,Ormewood Park,81
BURGLARY-NONRES,Center Hill,80
LARCENY-NON VEHICLE,Benteen Park,80
ROBBERY-PEDESTRIAN,Adams Park,80
BURGLARY-NONRES,Blandtown,80
AUTO THEFT,Brookwood,80
ROBBERY-PEDESTRIAN,Dixie Hills,80
ROBBERY-PEDESTRIAN,Lindridge/Martin Manor,80
BURGLARY-NONRES,Mechanicsville,79
AGG ASSAULT,The Villages at Carver,79
ROBBERY-PEDESTRIAN,Piedmont Heights,79
LARCENY-NON VEHICLE,East Chastain Park,79
AUTO THEFT,Lakewood,78
AGG ASSAULT,Lakewood,78
BURGLARY-RESIDENCE,Baker Hills,78
LARCENY-FROM VEHICLE,Rockdale,78
LARCENY-FROM VEHICLE,Collier Hills,78
AUTO THEFT,Capitol View Manor,78
ROBBERY-PEDESTRIAN,Carey Park,78
BURGLARY-RESIDENCE,Peachtree Hills,77
LARCENY-FROM VEHICLE,Atlanta Industrial Park,77
BURGLARY-RESIDENCE,Paces,77
LARCENY-NON VEHICLE,Ben Hill,77
LARCENY-NON VEHICLE,Old Gordon,76
AUTO THEFT,Peachtree Heights West,76
BURGLARY-RESIDENCE,Buckhead Forest,76
ROBBERY-PEDESTRIAN,Cascade Avenue/Road,76
BURGLARY-NONRES,Peoplestown,75
BURGLARY-RESIDENCE,Swallow Circle/Baywood,75
LARCENY-FROM VEHICLE,Tuxedo Park,75
AUTO THEFT,Mays,75
AGG ASSAULT,Carver Hills,74
AUTO THEFT,Ansley Park,74
AGG ASSAULT,Leila Valley,73
LARCENY-NON VEHICLE,Harris Chiles,73
LARCENY-NON VEHICLE,Cascade Heights,73
LARCENY-NON VEHICLE,Carver Hills,73
LARCENY-NON VEHICLE,Capitol Gateway,73
LARCENY-NON VEHICLE,Cabbagetown,73
BURGLARY-RESIDENCE,Heritage Valley,73
AUTO THEFT,Westhaven,72
BURGLARY-RESIDENCE,Blair Villa/Poole Creek,72
ROBBERY-COMMERCIAL,Midtown,72
LARCENY-FROM VEHICLE,Lakewood,72
BURGLARY-RESIDENCE,Audobon Forest,71
BURGLARY-RESIDENCE,Betmar LaVilla,71
BURGLARY-RESIDENCE,Rebel Valley Forest,71
BURGLARY-RESIDENCE,Sandlewood Estates,71
LARCENY-FROM VEHICLE,Monroe Heights,71
AUTO THEFT,Oakland,71
LARCENY-FROM VEHICLE,Westwood Terrace,71
LARCENY-NON VEHICLE,Brookwood,71
LARCENY-FROM VEHICLE,Almond Park,71
BURGLARY-RESIDENCE,Capitol View Manor,70
LARCENY-FROM VEHICLE,Polar Rock,70
BURGLARY-RESIDENCE,Poncey-Highland,70
LARCENY-FROM VEHICLE,Leila Valley,70
AGG ASSAULT,Ormewood Park,70
BURGLARY-NONRES,Edgewood,69
AUTO THEFT,Hills Park,69
ROBBERY-PEDESTRIAN,Lenox,68
LARCENY-FROM VEHICLE,Cross Creek,67
ROBBERY-COMMERCIAL,Old Fourth Ward,67
AGG ASSAULT,Rosedale Heights,67
AGG ASSAULT,Joyland,66
ROBBERY-PEDESTRIAN,Atlantic Station,66
AGG ASSAULT,Morningside/Lenox Park,66
AGG ASSAULT,Home Park,66
ROBBERY-PEDESTRIAN,Candler Park,65
AUTO THEFT,Bankhead/Bolton,65
LARCENY-FROM VEHICLE,Benteen Park,65
BURGLARY-NONRES,South River Gardens,65
BURGLARY-RESIDENCE,Marietta Street Artery,65
LARCENY-NON VEHICLE,West Highlands,65
ROBBERY-PEDESTRIAN,Princeton Lakes,65
AUTO THEFT,Amal Heights,65
LARCENY-NON VEHICLE,Norwood Manor,65
LARCENY-NON VEHICLE,Mt. Paran/Northside,65
BURGLARY-RESIDENCE,West Manor,65
BURGLARY-NONRES,Reynoldstown,64
BURGLARY-RESIDENCE,Peyton Forest,64
AGG ASSAULT,Kings Forest,63
BURGLARY-RESIDENCE,Ansley Park,63
AGG ASSAULT,Inman Park,63
ROBBERY-PEDESTRIAN,Pine Hills,63
AGG ASSAULT,North Buckhead,63
AUTO THEFT,Carroll Heights,63
BURGLARY-RESIDENCE,Buckhead Heights,62
ROBBERY-RESIDENCE,Old Fourth Ward,62
LARCENY-FROM VEHICLE,Peyton Forest,62
AUTO THEFT,Wilson Mill Meadows,62
AGG ASSAULT,Carroll Heights,62
BURGLARY-RESIDENCE,Peachtree Heights West,62
AGG ASSAULT,East Lake,62
LARCENY-FROM VEHICLE,Wilson Mill Meadows,61
LARCENY-NON VEHICLE,Fort Valley,61
LARCENY-FROM VEHICLE,Norwood Manor,61
BURGLARY-NONRES,Custer/McDonough/Guice,60
BURGLARY-NONRES,Blair Villa/Poole Creek,60
LARCENY-NON VEHICLE,Orchard Knob,60
ROBBERY-PEDESTRIAN,The Villages at Carver,60
BURGLARY-NONRES,Lenox,59
AUTO THEFT,Joyland,59
BURGLARY-RESIDENCE,East Chastain Park,59
LARCENY-FROM VEHICLE,Atkins Park,59
AUTO THEFT,Rockdale,59
AUTO THEFT,Knight Park/Howell Station,59
AUTO THEFT,Cross Creek,59
BURGLARY-RESIDENCE,Tuxedo Park,59
ROBBERY-PEDESTRIAN,North Buckhead,59
BURGLARY-NONRES,Capitol View,58
BURGLARY-RESIDENCE,Chastain Park,58
AUTO THEFT,Orchard Knob,58
AUTO THEFT,Peachtree Hills,58
LARCENY-NON VEHICLE,Ansley Park,58
AUTO THEFT,Carver Hills,57
BURGLARY-NONRES,Adair Park,57
ROBBERY-PEDESTRIAN,West Lake,57
AGG ASSAULT,Virginia Highland,57
BURGLARY-RESIDENCE,Penelope Neighbors,57
BURGLARY-RESIDENCE,Westhaven,57
ROBBERY-PEDESTRIAN,Benteen Park,56
AUTO THEFT,Penelope Neighbors,56
BURGLARY-NONRES,Chosewood Park,56
LARCENY-NON VEHICLE,Bankhead/Bolton,56
LARCENY-NON VEHICLE,Joyland,56
LARCENY-FROM VEHICLE,Ben Hill Terrace,56
ROBBERY-PEDESTRIAN,Harris Chiles,56
BURGLARY-RESIDENCE,Ben Hill Pines,56
LARCENY-FROM VEHICLE,Woodland Hills,56
BURGLARY-RESIDENCE,Woodland Hills,56
BURGLARY-RESIDENCE,Capitol Gateway,56
AGG ASSAULT,Princeton Lakes,56
LARCENY-NON VEHICLE,Druid Hills,55
BURGLARY-NONRES,Dixie Hills,55
ROBBERY-PEDESTRIAN,Poncey-Highland,55
AUTO THEFT,Peachtree Park,55
AGG ASSAULT,Reynoldstown,55
ROBBERY-COMMERCIAL,Sylvan Hills,55
LARCENY-FROM VEHICLE,Ridgedale Park,55
ROBBERY-PEDESTRIAN,Chosewood Park,55
LARCENY-FROM VEHICLE,Westhaven,54
LARCENY-NON VEHICLE,Ben Hill Acres,54
AGG ASSAULT,Fairburn Heights,54
LARCENY-NON VEHICLE,Westwood Terrace,53
BURGLARY-RESIDENCE,Cabbagetown,53
BURGLARY-NONRES,Westview,53
BURGLARY-NONRES,Princeton Lakes,53
AUTO THEFT,Benteen Park,52
AUTO THEFT,Cascade Heights,52
AGG ASSAULT,Orchard Knob,52
BURGLARY-RESIDENCE,Brookhaven,52
LARCENY-NON VEHICLE,Capitol View Manor,52
AUTO THEFT,Woodland Hills,52
LARCENY-FROM VEHICLE,Carroll Heights,52
AUTO THEFT,Bush Mountain,52
BURGLARY-NONRES,Buckhead Village,51
LARCENY-NON VEHICLE,Buckhead Heights,51
BURGLARY-NONRES,Marietta Street Artery,51
LARCENY-NON VEHICLE,Lake Claire,51
BURGLARY-NONRES,Venetian Hills,51
LARCENY-NON VEHICLE,Lincoln Homes,51
LARCENY-FROM VEHICLE,Baker Hills,50
LARCENY-FROM VEHICLE,Ashley Courts,50
LARCENY-NON VEHICLE,Westhaven,50
AUTO THEFT,Wildwood (NPU-C),50
BURGLARY-NONRES,Buckhead Forest,50
LARCENY-NON VEHICLE,Brandon,50
ROBBERY-PEDESTRIAN,West Highlands,50
BURGLARY-NONRES,Vine City,49
LARCENY-NON VEHICLE,Arlington Estates,49
ROBBERY-RESIDENCE,Downtown,49
LARCENY-FROM VEHICLE,Penelope Neighbors,49
AGG ASSAULT,Atlantic Station,48
LARCENY-FROM VEHICLE,Wisteria Gardens,48
AGG ASSAULT,Poncey-Highland,48
LARCENY-FROM VEHICLE,Midwest Cascade,48
ROBBERY-PEDESTRIAN,Old Gordon,48
BURGLARY-RESIDENCE,Wildwood (NPU-C),48
LARCENY-NON VEHICLE,Monroe Heights,48
AGG ASSAULT,Fort Valley,48
BURGLARY-NONRES,Florida Heights,47
BURGLARY-NONRES,Hills Park,47
LARCENY-NON VEHICLE,Ben Hill Terrace,47
AUTO THEFT,Westwood Terrace,47
AUTO THEFT,Boulevard Heights,47
BURGLARY-NONRES,Ormewood Park,47
LARCENY-FROM VEHICLE,Lincoln Homes,46
AGG ASSAULT,Swallow Circle/Baywood,46
AGG ASSAULT,South Tuxedo Park,46
AGG ASSAULT,Monroe Heights,46
AGG ASSAULT,Pine Hills,46
ROBBERY-PEDESTRIAN,Berkeley Park,46
LARCENY-NON VEHICLE,Baker Hills,46
AUTO THEFT,Rebel Valley Forest,46
BURGLARY-NONRES,Browns Mill Park,45
BURGLARY-NONRES,East Lake,45
LARCENY-FROM VEHICLE,Springlake,45
BURGLARY-RESIDENCE,Wildwood (NPU-H),45
LARCENY-NON VEHICLE,Ashley Courts,45
ROBBERY-PEDESTRIAN,Scotts Crossing,45
ROBBERY-PEDESTRIAN,Rosedale Heights,45
LARCENY-FROM VEHICLE,Peachtree Heights East,45
LARCENY-NON VEHICLE,Betmar LaVilla,44
AUTO THEFT,Lincoln Homes,44
ROBBERY-PEDESTRIAN,Almond Park,44
ROBBERY-COMMERCIAL,East Atlanta,44
BURGLARY-NONRES,East Chastain Park,44
AGG ASSAULT,Bankhead/Bolton,44
AGG ASSAULT,The Villages at Castleberry H,44
LARCENY-FROM VEHICLE,Orchard Knob,44
AUTO THEFT,South Tuxedo Park,44
ROBBERY-PEDESTRIAN,Underwood Hills,44
AGG ASSAULT,Harris Chiles,44
ROBBERY-COMMERCIAL,Lindbergh/Morosgo,43
AUTO THEFT,Heritage Valley,43
BURGLARY-NONRES,South Tuxedo Park,43
LARCENY-FROM VEHICLE,Arlington Estates,43
LARCENY-FROM VEHICLE,Beecher Hills,43
AUTO THEFT,Old Gordon,43
LARCENY-FROM VEHICLE,Ben Hill Acres,43
BURGLARY-RESIDENCE,Bankhead/Bolton,43
LARCENY-NON VEHICLE,Rockdale,42
AUTO THEFT,Paces,42
BURGLARY-RESIDENCE,Fairway Acres,42
LARCENY-FROM VEHICLE,Capitol View Manor,42
LARCENY-FROM VEHICLE,Carver Hills,42
ROBBERY-COMMERCIAL,Perkerson,42
AGG ASSAULT,Lincoln Homes,42
LARCENY-FROM VEHICLE,West Manor,42
ROBBERY-PEDESTRIAN,The Villages at Castleberry H,42
LARCENY-FROM VEHICLE,Woodfield,42
BURGLARY-RESIDENCE,Springlake,41
ROBBERY-COMMERCIAL,Harland Terrace,41
BURGLARY-RESIDENCE,Ridgewood Heights,41
LARCENY-NON VEHICLE,Wyngate,41
LARCENY-NON VEHICLE,Midwest Cascade,41
BURGLARY-RESIDENCE,Margaret Mitchell,41
LARCENY-FROM VEHICLE,Deerwood,41
LARCENY-FROM VEHICLE,Castlewood,41
BURGLARY-RESIDENCE,Laurens Valley,41
LARCENY-NON VEHICLE,Ardmore,40
LARCENY-NON VEHICLE,Elmco Estates,40
ROBBERY-RESIDENCE,English Avenue,40
AGG ASSAULT,Capitol Gateway,40
LARCENY-FROM VEHICLE,Joyland,40
AGG ASSAULT,Ben Hill,40
ROBBERY-PEDESTRIAN,Blandtown,40
AGG ASSAULT,The Villages at East Lake,40
BURGLARY-RESIDENCE,Knight Park/Howell Station,40
LARCENY-NON VEHICLE,Beecher Hills,40
BURGLARY-RESIDENCE,Elmco Estates,40
BURGLARY-RESIDENCE,High Point,40
ROBBERY-RESIDENCE,Midtown,40
LARCENY-FROM VEHICLE,Audobon Forest,40
LARCENY-NON VEHICLE,Boulevard Heights,39
BURGLARY-RESIDENCE,Collier Hills,39
ROBBERY-PEDESTRIAN,Buckhead Village,39
ROBBERY-PEDESTRIAN,The Villages at East Lake,39
AGG ASSAULT,Buckhead Village,39
ROBBERY-PEDESTRIAN,Bolton,39
LARCENY-FROM VEHICLE,Colonial Homes,39
BURGLARY-RESIDENCE,Briar Glen,39
BURGLARY-NONRES,Collier Heights,39
LARCENY-NON VEHICLE,Heritage Valley,39
AUTO THEFT,Brookview Heights,39
ROBBERY-PEDESTRIAN,Marietta Street Artery,39
ROBBERY-RESIDENCE,Campbellton Road,39
LARCENY-NON VEHICLE,Amal Heights,39
AGG ASSAULT,Bolton,39
AUTO THEFT,Baker Hills,38
ROBBERY-RESIDENCE,Grove Park,38
BURGLARY-RESIDENCE,Brandon,38
BURGLARY-RESIDENCE,Wisteria Gardens,38
ROBBERY-RESIDENCE,Glenrose Heights,38
LARCENY-NON VEHICLE,Swallow Circle/Baywood,38
LARCENY-FROM VEHICLE,High Point,38
LARCENY-FROM VEHICLE,Bankhead/Bolton,38
ROBBERY-PEDESTRIAN,Morningside/Lenox Park,38
LARCENY-NON VEHICLE,Cross Creek,38
BURGLARY-RESIDENCE,Cascade Green,38
ROBBERY-RESIDENCE,Pittsburgh,38
BURGLARY-RESIDENCE,Channing Valley,38
BURGLARY-NONRES,Garden Hills,38
ROBBERY-RESIDENCE,Mechanicsville,37
LARCENY-NON VEHICLE,Wilson Mill Meadows,37
AGG ASSAULT,Blair Villa/Poole Creek,37
ROBBERY-PEDESTRIAN,Loring Heights,37
LARCENY-NON VEHICLE,Tuxedo Park,37
BURGLARY-RESIDENCE,Rockdale,36
AGG ASSAULT,Buckhead Forest,36
ROBBERY-PEDESTRIAN,Fairburn Heights,36
LARCENY-FROM VEHICLE,Margaret Mitchell,36
ROBBERY-RESIDENCE,Sylvan Hills,36
BURGLARY-NONRES,Knight Park/Howell Station,36
ROBBERY-COMMERCIAL,Greenbriar,36
BURGLARY-NONRES,Pine Hills,36
LARCENY-FROM VEHICLE,Fort Valley,36
ROBBERY-PEDESTRIAN,Lakewood,36
AGG ASSAULT,Amal Heights,36
LARCENY-FROM VEHICLE,Amal Heights,35
LARCENY-NON VEHICLE,Brookhaven,35
LARCENY-FROM VEHICLE,Wildwood (NPU-H),35
ROBBERY-PEDESTRIAN,Joyland,35
BURGLARY-NONRES,Poncey-Highland,35
BURGLARY-NONRES,Cascade Avenue/Road,35
AGG ASSAULT,Rebel Valley Forest,35
LARCENY-FROM VEHICLE,Memorial Park,35
AUTO THEFT,Druid Hills,35
AUTO THEFT,Whittier Mill Village,35
LARCENY-NON VEHICLE,Fairburn,34
BURGLARY-NONRES,Hunter Hills,34
AUTO THEFT,Colonial Homes,34
BURGLARY-RESIDENCE,Peachtree Battle Alliance,34
BURGLARY-RESIDENCE,Pomona Park,34
AUTO THEFT,Swallow Circle/Baywood,34
BURGLARY-RESIDENCE,Ridgecrest Forest,34
ROBBERY-COMMERCIAL,Adamsville,34
AGG ASSAULT,Bush Mountain,34
LARCENY-FROM VEHICLE,Heritage Valley,34
ROBBERY-PEDESTRIAN,Orchard Knob,34
ROBBERY-PEDESTRIAN,Buckhead Forest,34
AUTO THEFT,Arlington Estates,34
LARCENY-NON VEHICLE,Wisteria Gardens,34
ROBBERY-COMMERCIAL,Edgewood,33
AUTO THEFT,Midwest Cascade,33
AUTO THEFT,Wisteria Gardens,33
LARCENY-NON VEHICLE,Peyton Forest,33
AUTO THEFT,Meadowbrook Forest,33
BURGLARY-NONRES,Bolton,33
BURGLARY-RESIDENCE,Hills Park,33
LARCENY-NON VEHICLE,Bush Mountain,33
BURGLARY-NONRES,Summerhill,33
AGG ASSAULT,Loring Heights,33
AUTO THEFT,Ben Hill Acres,33
AGG ASSAULT,Candler Park,32
BURGLARY-NONRES,Riverside,32
LARCENY-NON VEHICLE,Randall Mill,32
BURGLARY-NONRES,West Lake,32
LARCENY-NON VEHICLE,Rebel Valley Forest,32
AUTO THEFT,Deerwood,32
ROBBERY-PEDESTRIAN,Cabbagetown,32
HOMICIDE,Downtown,32
ROBBERY-RESIDENCE,Collier Heights,32
BURGLARY-RESIDENCE,Peachtree Park,32
BURGLARY-RESIDENCE,Druid Hills,32
AGG ASSAULT,Riverside,32
BURGLARY-RESIDENCE,Ridgedale Park,31
AGG ASSAULT,Wildwood (NPU-H),31
ROBBERY-RESIDENCE,West End,31
BURGLARY-RESIDENCE,West Paces Ferry/Northside,31
BURGLARY-RESIDENCE,Whittier Mill Village,31
BURGLARY-RESIDENCE,Magnum Manor,31
LARCENY-NON VEHICLE,Wildwood (NPU-H),31
BURGLARY-RESIDENCE,Rue Royal,31
BURGLARY-NONRES,Candler Park,31
LARCENY-NON VEHICLE,Ridgedale Park,31
BURGLARY-NONRES,Norwood Manor,31
ROBBERY-COMMERCIAL,Grove Park,30
ROBBERY-COMMERCIAL,Custer/McDonough/Guice,30
HOMICIDE,English Avenue,30
LARCENY-FROM VEHICLE,Magnum Manor,30
RAPE,Old Fourth Ward,30
BURGLARY-RESIDENCE,Bolton Hills,30
ROBBERY-PEDESTRIAN,Brookview Heights,30
BURGLARY-RESIDENCE,Colonial Homes,30
BURGLARY-NONRES,Wildwood (NPU-C),30
AUTO THEFT,East Chastain Park,30
LARCENY-FROM VEHICLE,Fairburn,30
ROBBERY-RESIDENCE,Oakland City,30
AGG ASSAULT,Berkeley Park,30
AGG ASSAULT,Brookview Heights,30
AGG ASSAULT,Wilson Mill Meadows,30
BURGLARY-NONRES,Mozley Park,29
BURGLARY-NONRES,Peachtree Hills,29
BURGLARY-NONRES,Atlantic Station,29
AUTO THEFT,Buckhead Heights,29
AGG ASSAULT,Westwood Terrace,29
ROBBERY-RESIDENCE,Venetian Hills,29
LARCENY-FROM VEHICLE,Wyngate,29
ROBBERY-RESIDENCE,East Atlanta,29
ROBBERY-COMMERCIAL,Lindridge/Martin Manor,29
AUTO THEFT,Fairburn,29
AGG ASSAULT,Baker Hills,29
AGG ASSAULT,Ashley Courts,29
AUTO THEFT,Elmco Estates,28
BURGLARY-RESIDENCE,English Park,28
AGG ASSAULT,Mays,28
AGG ASSAULT,Lenox,28
ROBBERY-RESIDENCE,Hammond Park,28
LARCENY-NON VEHICLE,Peachtree Heights East,28
AGG ASSAULT,Benteen Park,28
ROBBERY-RESIDENCE,Peoplestown,28
AUTO THEFT,High Point,28
LARCENY-NON VEHICLE,High Point,28
LARCENY-NON VEHICLE,Peachtree Battle Alliance,28
LARCENY-FROM VEHICLE,Ridgewood Heights,28
RAPE,Midtown,28
BURGLARY-RESIDENCE,Buckhead Village,27
LARCENY-FROM VEHICLE,Rebel Valley Forest,27
ROBBERY-COMMERCIAL,Berkeley Park,27
ROBBERY-COMMERCIAL,East Lake,27
LARCENY-FROM VEHICLE,Green Forest Acres,27
ROBBERY-COMMERCIAL,Campbellton Road,27
ROBBERY-RESIDENCE,Lakewood Heights,27
LARCENY-FROM VEHICLE,Sandlewood Estates,27
BURGLARY-NONRES,Ashview Heights,26
AUTO THEFT,Beecher Hills,26
LARCENY-NON VEHICLE,Channing Valley,26
LARCENY-NON VEHICLE,Margaret Mitchell,26
BURGLARY-NONRES,Brookview Heights,26
ROBBERY-PEDESTRIAN,South Tuxedo Park,26
ROBBERY-RESIDENCE,Vine City,26
BURGLARY-NONRES,Peachtree Park,26
LARCENY-FROM VEHICLE,Elmco Estates,26
ROBBERY-COMMERCIAL,Cascade Avenue/Road,26
BURGLARY-NONRES,Lakewood,26
ROBBERY-RESIDENCE,Southwest,26
LARCENY-NON VEHICLE,Whittier Mill Village,26
AUTO THEFT,Ardmore,26
RAPE,English Avenue,26
BURGLARY-RESIDENCE,Wesley Battle,26
BURGLARY-NONRES,Carey Park,26
ROBBERY-COMMERCIAL,North Buckhead,26
LARCENY-FROM VEHICLE,Old Gordon,26
ROBBERY-COMMERCIAL,Lakewood Heights,26
AUTO THEFT,Chastain Park,26
BURGLARY-RESIDENCE,Oakcliff,26
LARCENY-NON VEHICLE,Green Forest Acres,26
ROBBERY-PEDESTRIAN,Ben Hill,26
LARCENY-NON VEHICLE,West Manor,26
AGG ASSAULT,Peachtree Heights West,25
ROBBERY-COMMERCIAL,Glenrose Heights,25
ROBBERY-COMMERCIAL,Florida Heights,25
ROBBERY-RESIDENCE,Fairburn Mays,25
BURGLARY-RESIDENCE,Boulder Park,25
LARCENY-NON VEHICLE,Bolton Hills,25
BURGLARY-RESIDENCE,South Tuxedo Park,25
AGG ASSAULT,Cascade Heights,25
ROBBERY-COMMERCIAL,Lenox,25
BURGLARY-RESIDENCE,Green Forest Acres,25
BURGLARY-NONRES,Atlanta University Center,25
AUTO THEFT,Brookwood Hills,25
ROBBERY-PEDESTRIAN,Leila Valley,25
ROBBERY-PEDESTRIAN,Rockdale,24
LARCENY-FROM VEHICLE,Chalet Woods,24
HOMICIDE,Old Fourth Ward,24
BURGLARY-RESIDENCE,Pleasant Hill,24
LARCENY-FROM VEHICLE,Bush Mountain,24
BURGLARY-NONRES,Fairburn Mays,24
ROBBERY-PEDESTRIAN,East Lake,24
LARCENY-FROM VEHICLE,English Park,24
AUTO THEFT,Ridgedale Park,24
AUTO THEFT,Mt. Paran/Northside,24
AGG ASSAULT,Westhaven,24
LARCENY-NON VEHICLE,Atlanta Industrial Park,24
ROBBERY-PEDESTRIAN,Fort Valley,24
HOMICIDE,Grove Park,24
ROBBERY-PEDESTRIAN,Polar Rock,24
LARCENY-FROM VEHICLE,Kingswood,24
BURGLARY-NONRES,The Villages at Carver,24
HOMICIDE,Campbellton Road,23
BURGLARY-NONRES,Benteen Park,23
AGG ASSAULT,Fairburn,23
AGG ASSAULT,Underwood Hills,23
LARCENY-FROM VEHICLE,Cascade Green,23
AGG ASSAULT,Norwood Manor,23
ROBBERY-PEDESTRIAN,Garden Hills,23
ROBBERY-COMMERCIAL,Grant Park,23
LARCENY-FROM VEHICLE,Briar Glen,23
ROBBERY-PEDESTRIAN,Capitol Gateway,23
ROBBERY-RESIDENCE,Thomasville Heights,22
ROBBERY-PEDESTRIAN,Norwood Manor,22
ROBBERY-RESIDENCE,Bankhead,22
BURGLARY-RESIDENCE,Niskey Lake,22
AGG ASSAULT,Blandtown,22
RAPE,Mechanicsville,22
BURGLARY-RESIDENCE,Audobon Forest West,22
ROBBERY-RESIDENCE,Greenbriar,22
AUTO THEFT,Channing Valley,22
ROBBERY-COMMERCIAL,English Avenue,22
LARCENY-NON VEHICLE,Penelope Neighbors,22
BURGLARY-NONRES,Scotts Crossing,22
LARCENY-NON VEHICLE,Deerwood,22
BURGLARY-RESIDENCE,Butner/Tell,22
ROBBERY-COMMERCIAL,Pittsburgh,22
BURGLARY-RESIDENCE,Greenbriar Village,21
LARCENY-NON VEHICLE,English Park,21
BURGLARY-RESIDENCE,Westminster/Milmar,21
HOMICIDE,West End,21
ROBBERY-PEDESTRIAN,Riverside,21
LARCENY-NON VEHICLE,Oakland,21
ROBBERY-RESIDENCE,Grant Park,21
BURGLARY-RESIDENCE,Kingswood,21
BURGLARY-RESIDENCE,Niskey Cove,21
ROBBERY-PEDESTRIAN,Wilson Mill Meadows,21
ROBBERY-COMMERCIAL,Piedmont Heights,21
AUTO THEFT,English Park,21
LARCENY-FROM VEHICLE,Fairburn Tell,21
ROBBERY-PEDESTRIAN,Betmar LaVilla,21
BURGLARY-NONRES,Brookwood Hills,21
AUTO THEFT,West Manor,21
BURGLARY-NONRES,Thomasville Heights,21
HOMICIDE,Bankhead,21
ROBBERY-COMMERCIAL,Woodland Hills,21
RAPE,Pittsburgh,21
ROBBERY-COMMERCIAL,Kirkwood,21
ROBBERY-COMMERCIAL,Hammond Park,21
AGG ASSAULT,Penelope Neighbors,21
AUTO THEFT,Peyton Forest,21
LARCENY-NON VEHICLE,Fairway Acres,21
AGG ASSAULT,West Highlands,21
BURGLARY-NONRES,Washington Park,21
LARCENY-FROM VEHICLE,Swallow Circle/Baywood,21
BURGLARY-NONRES,Brookwood,20
AUTO THEFT,Atlanta Industrial Park,20
AGG ASSAULT,Capitol View Manor,20
ROBBERY-PEDESTRIAN,Wildwood (NPU-H),20
AGG ASSAULT,Garden Hills,20
LARCENY-NON VEHICLE,Springlake,20
ROBBERY-PEDESTRIAN,Bankhead/Bolton,20
AUTO THEFT,Pomona Park,20
ROBBERY-PEDESTRIAN,Peachtree Heights West,20
BURGLARY-NONRES,Cabbagetown,20
RAPE,Grove Park,20
ROBBERY-PEDESTRIAN,Westhaven,20
AGG ASSAULT,English Park,20
LARCENY-FROM VEHICLE,Sherwood Forest,20
BURGLARY-NONRES,West Paces Ferry/Northside,20
AGG ASSAULT,Marietta Street Artery,20
ROBBERY-RESIDENCE,Browns Mill Park,20
ROBBERY-COMMERCIAL,Inman Park,19
LARCENY-FROM VEHICLE,Westover Plantation,19
LARCENY-FROM VEHICLE,Westminster/Milmar,19
LARCENY-FROM VEHICLE,Pomona Park,19
HOMICIDE,Pittsburgh,19
ROBBERY-COMMERCIAL,Adams Park,19
AGG ASSAULT,Peachtree Park,19
BURGLARY-RESIDENCE,Sherwood Forest,19
LARCENY-NON VEHICLE,Audobon Forest,19
RAPE,West End,19
RAPE,Harland Terrace,19
ROBBERY-RESIDENCE,Westview,19
AUTO THEFT,Just Us,19
ROBBERY-PEDESTRIAN,Penelope Neighbors,19
BURGLARY-RESIDENCE,Oakland,19
ROBBERY-PEDESTRIAN,Ansley Park,19
BURGLARY-RESIDENCE,Brookwood Hills,19
BURGLARY-RESIDENCE,Bakers Ferry,19
LARCENY-FROM VEHICLE,Georgia Tech,19
ROBBERY-PEDESTRIAN,Monroe Heights,19
BURGLARY-RESIDENCE,Huntington,19
HOMICIDE,Lakewood Heights,19
BURGLARY-NONRES,Orchard Knob,19
LARCENY-FROM VEHICLE,Arden/Habersham,19
LARCENY-NON VEHICLE,Butner/Tell,19
ROBBERY-PEDESTRIAN,Kings Forest,19
BURGLARY-NONRES,Peachtree Heights West,19
BURGLARY-RESIDENCE,Ben Hill Forest,19
BURGLARY-RESIDENCE,Wildwood Forest,19
BURGLARY-NONRES,Polar Rock,19
BURGLARY-RESIDENCE,Ben Hill Acres,19
AGG ASSAULT,Arlington Estates,19
AGG ASSAULT,Ben Hill Terrace,19
RAPE,Vine City,18
AGG ASSAULT,Betmar LaVilla,18
AUTO THEFT,Brookhaven,18
BURGLARY-NONRES,Fairburn Heights,18
BURGLARY-RESIDENCE,Brentwood,18
ROBBERY-PEDESTRIAN,Peachtree Hills,18
LARCENY-NON VEHICLE,Atkins Park,18
ROBBERY-PEDESTRIAN,Wisteria Gardens,18
ROBBERY-PEDESTRIAN,Carver Hills,18
LARCENY-NON VEHICLE,Bakers Ferry,18
ROBBERY-RESIDENCE,Lindbergh/Morosgo,18
ROBBERY-PEDESTRIAN,Carroll Heights,18
AGG ASSAULT,Knight Park/Howell Station,18
AUTO THEFT,Fairway Acres,18
RAPE,Lindbergh/Morosgo,18
AUTO THEFT,Sandlewood Estates,18
LARCENY-FROM VEHICLE,Meadowbrook Forest,18
BURGLARY-NONRES,Kings Forest,18
ROBBERY-PEDESTRIAN,Swallow Circle/Baywood,18
BURGLARY-NONRES,Woodland Hills,17
LARCENY-FROM VEHICLE,Laurens Valley,17
AGG ASSAULT,Wisteria Gardens,17
ROBBERY-RESIDENCE,Pine Hills,17
ROBBERY-RESIDENCE,Perkerson,17
LARCENY-NON VEHICLE,Ridgecrest Forest,17
ROBBERY-RESIDENCE,Ashview Heights,17
