crime,neighborhood,count
BURGLARY-RESIDENCE,Hammond Park,432
AUTO THEFT,Center Hill,432
AGG ASSAULT,Sylvan Hills,431
BURGLARY-RESIDENCE,Ormewood Park,431
AUTO THEFT,Sweet Auburn,431
LARCENY-NON VEHICLE,Buckhead Forest,429
LARCENY-NON VEHICLE,Collier Heights,424
AUTO THEFT,Oakland City,422
AUTO THEFT,Castleberry Hill,420
LARCENY-NON VEHICLE,Adamsville,420
BURGLARY-RESIDENCE,Capitol View,419
AGG ASSAULT,Oakland City,418
LARCENY-FROM VEHICLE,Southwest,410
AGG ASSAULT,Bankhead,407
LARCENY-FROM VEHICLE,Ormewood Park,406
AUTO THEFT,Edgewood,404
LARCENY-FROM VEHICLE,Center Hill,401
BURGLARY-RESIDENCE,The Villages at Carver,401
AGG ASSAULT,Campbellton Road,400
LARCENY-NON VEHICLE,Piedmont Heights,397
LARCENY-NON VEHICLE,Lindridge/Martin Manor,394
LARCENY-FROM VEHICLE,East Lake,392
LARCENY-FROM VEHICLE,Oakland City,392
BURGLARY-RESIDENCE,Dixie Hills,392
LARCENY-NON VEHICLE,Hammond Park,391
LARCENY-NON VEHICLE,Bankhead,391
AUTO THEFT,Thomasville Heights,384
BURGLARY-NONRES,Downtown,383
AGG ASSAULT,Thomasville Heights,383
BURGLARY-RESIDENCE,Cascade Avenue/Road,383
AUTO THEFT,Capitol View,381
BURGLARY-NONRES,Midtown,375
LARCENY-NON VEHICLE,Florida Heights,374
LARCENY-NON VEHICLE,Venetian Hills,372
LARCENY-NON VEHICLE,Morningside/Lenox Park,371
LARCENY-NON VEHICLE,Southwest,371
AUTO THEFT,The Villages at Carver,369
LARCENY-FROM VEHICLE,Pine Hills,368
LARCENY-FROM VEHICLE,Ansley Park,367
AUTO THEFT,Lakewood Heights,365
BURGLARY-RESIDENCE,Browns Mill Park,365
LARCENY-NON VEHICLE,Sweet Auburn,364
BURGLARY-RESIDENCE,Bankhead,361
BURGLARY-RESIDENCE,The Villages at Castleberry H,359
LARCENY-FROM VEHICLE,Ardmore,357
BURGLARY-RESIDENCE,Princeton Lakes,355
LARCENY-NON VEHICLE,Westview,352
LARCENY-NON VEHICLE,Peoplestown,352
AUTO THEFT,Kirkwood,352
BURGLARY-RESIDENCE,Harland Terrace,351
AUTO THEFT,Westview,351
AUTO THEFT,Summerhill,349
AUTO THEFT,Virginia Highland,349
LARCENY-NON VEHICLE,Summerhill,346
BURGLARY-RESIDENCE,Downtown,343
LARCENY-NON VEHICLE,Castleberry Hill,341
LARCENY-NON VEHICLE,Peachtree Heights West,341
AUTO THEFT,Home Park,338
BURGLARY-RESIDENCE,Thomasville Heights,338
BURGLARY-RESIDENCE,Carey Park,337
AUTO THEFT,Princeton Lakes,337
LARCENY-FROM VEHICLE,Harland Terrace,336
AUTO THEFT,Lindbergh/Morosgo,336
AUTO THEFT,Peoplestown,335
AUTO THEFT,Fairburn Mays,335
BURGLARY-RESIDENCE,Mozley Park,334
BURGLARY-RESIDENCE,South Atlanta,333
AGG ASSAULT,Lakewood Heights,333
AUTO THEFT,Inman Park,332
LARCENY-FROM VEHICLE,Campbellton Road,331
BURGLARY-RESIDENCE,Fairburn Mays,330
LARCENY-FROM VEHICLE,Ashview Heights,329
AGG ASSAULT,Vine City,327
BURGLARY-RESIDENCE,Florida Heights,326
LARCENY-FROM VEHICLE,Reynoldstown,323
LARCENY-FROM VEHICLE,Westview,321
AUTO THEFT,Adamsville,320
LARCENY-NON VEHICLE,Cascade Avenue/Road,316
LARCENY-FROM VEHICLE,Glenrose Heights,316
LARCENY-NON VEHICLE,Buckhead Village,315
BURGLARY-RESIDENCE,Pine Hills,315
AGG ASSAULT,Glenrose Heights,314
LARCENY-FROM VEHICLE,Peachtree Heights West,312
AGG ASSAULT,Hammond Park,310
LARCENY-NON VEHICLE,East Lake,309
BURGLARY-RESIDENCE,Chosewood Park,309
ROBBERY-PEDESTRIAN,Mechanicsville,306
AUTO THEFT,Hammond Park,304
LARCENY-FROM VEHICLE,Perkerson,303
LARCENY-FROM VEHICLE,Lake Claire,302
ROBBERY-PEDESTRIAN,Grove Park,299
AUTO THEFT,South River Gardens,299
AGG ASSAULT,Center Hill,299
BURGLARY-RESIDENCE,Adair Park,297
BURGLARY-RESIDENCE,East Lake,297
AUTO THEFT,Venetian Hills,295
ROBBERY-PEDESTRIAN,Vine City,294
ROBBERY-PEDESTRIAN,Pittsburgh,291
LARCENY-NON VEHICLE,Adair Park,291
LARCENY-NON VEHICLE,Hunter Hills,283
AGG ASSAULT,Venetian Hills,280
ROBBERY-PEDESTRIAN,English Avenue,276
AUTO THEFT,Ormewood Park,276
LARCENY-FROM VEHICLE,Chastain Park,274
LARCENY-FROM VEHICLE,South Tuxedo Park,274
LARCENY-FROM VEHICLE,Adams Park,274
LARCENY-FROM VEHICLE,Bolton,273
BURGLARY-RESIDENCE,Adamsville,272
LARCENY-NON VEHICLE,Ashview Heights,269
AUTO THEFT,North Buckhead,265
ROBBERY-PEDESTRIAN,Sylvan Hills,264
AUTO THEFT,Adair Park,262
LARCENY-FROM VEHICLE,Adair Park,261
BURGLARY-RESIDENCE,Morningside/Lenox Park,261
AGG ASSAULT,Collier Heights,261
LARCENY-NON VEHICLE,Browns Mill Park,261
AGG ASSAULT,Southwest,255
BURGLARY-RESIDENCE,Washington Park,255
BURGLARY-RESIDENCE,Riverside,254
BURGLARY-RESIDENCE,North Buckhead,253
LARCENY-FROM VEHICLE,Channing Valley,252
BURGLARY-RESIDENCE,Adams Park,252
LARCENY-FROM VEHICLE,Hills Park,252
BURGLARY-RESIDENCE,Custer/McDonough/Guice,250
AUTO THEFT,Mozley Park,250
AUTO THEFT,Morningside/Lenox Park,250
LARCENY-NON VEHICLE,South Atlanta,249
LARCENY-FROM VEHICLE,Venetian Hills,248
AGG ASSAULT,Hunter Hills,248
LARCENY-FROM VEHICLE,Loring Heights,248
AGG ASSAULT,Peoplestown,247
AGG ASSAULT,Carey Park,245
LARCENY-NON VEHICLE,Adams Park,244
AUTO THEFT,Browns Mill Park,244
LARCENY-FROM VEHICLE,The Villages at Castleberry H,244
AUTO THEFT,Reynoldstown,244
BURGLARY-RESIDENCE,Reynoldstown,244
LARCENY-FROM VEHICLE,South Atlanta,243
LARCENY-FROM VEHICLE,Cabbagetown,243
LARCENY-NON VEHICLE,Custer/McDonough/Guice,240
LARCENY-FROM VEHICLE,The Villages at Carver,237
LARCENY-FROM VEHICLE,Peachtree Park,237
LARCENY-NON VEHICLE,South Tuxedo Park,236
AGG ASSAULT,Westview,236
BURGLARY-RESIDENCE,Lindridge/Martin Manor,235
LARCENY-NON VEHICLE,Dixie Hills,235
BURGLARY-RESIDENCE,Scotts Crossing,235
AUTO THEFT,Atlanta University Center,234
BURGLARY-RESIDENCE,Almond Park,233
LARCENY-FROM VEHICLE,Cascade Avenue/Road,232
BURGLARY-RESIDENCE,Ben Hill,232
AGG ASSAULT,South River Gardens,230
AUTO THEFT,The Villages at Castleberry H,229
LARCENY-FROM VEHICLE,Wildwood (NPU-C),228
AGG ASSAULT,Adamsville,227
AUTO THEFT,Florida Heights,226
LARCENY-FROM VEHICLE,Hammond Park,226
ROBBERY-PEDESTRIAN,Oakland City,225
LARCENY-NON VEHICLE,Capitol View,224
LARCENY-NON VEHICLE,Fairburn Mays,223
LARCENY-NON VEHICLE,Candler Park,223
LARCENY-FROM VEHICLE,South River Gardens,222
BURGLARY-RESIDENCE,Virginia Highland,222
BURGLARY-RESIDENCE,Summerhill,221
LARCENY-FROM VEHICLE,Bankhead,219
LARCENY-NON VEHICLE,Underwood Hills,218
LARCENY-NON VEHICLE,Atlanta University Center,218
LARCENY-FROM VEHICLE,Peachtree Hills,217
AUTO THEFT,Piedmont Heights,215
LARCENY-NON VEHICLE,Ormewood Park,215
AUTO THEFT,Candler Park,214
LARCENY-NON VEHICLE,Reynoldstown,213
BURGLARY-RESIDENCE,Polar Rock,213
BURGLARY-RESIDENCE,Inman Park,212
BURGLARY-NONRES,Old Fourth Ward,211
LARCENY-NON VEHICLE,Pine Hills,211
AUTO THEFT,Ashview Heights,210
BURGLARY-RESIDENCE,Loring Heights,210
ROBBERY-PEDESTRIAN,East Atlanta,209
AUTO THEFT,Capitol Gateway,209
BURGLARY-RESIDENCE,Fairburn Heights,208
BURGLARY-NONRES,West End,208
AUTO THEFT,Cascade Avenue/Road,207
AUTO THEFT,The Villages at East Lake,207
ROBBERY-PEDESTRIAN,Campbellton Road,206
BURGLARY-RESIDENCE,Carroll Heights,206
LARCENY-NON VEHICLE,Thomasville Heights,206
LARCENY-FROM VEHICLE,Thomasville Heights,206
